version_id,document_id,competitor,source_type,overall_decision,reason_codes,raw_path,url,review_agent,reviewed_at
ver_fc7d3e9c10bac3dca3b31a57,doc_001516c2a8004ee7b354c949,CodeGeeX,github_issue,NEEDS_REVIEW,"[""NO_DIMENSION_LABEL""]",data/raw/codegeex/github_issue/20260717T031124Z_6bad9f7c/fa9a561dfdd23121e6cc0471.json,https://github.com/zai-org/CodeGeeX/issues/277,codex-ai-precheck,2026-07-17T03:45:48.495681Z
ver_7ab68d395d95220a2a462696,doc_02d89c2f610eb980065607c9,CodeGeeX,github_issue,NEEDS_REVIEW,"[""NO_DIMENSION_LABEL"", ""CONTENT_TOO_SHORT""]",data/raw/codegeex/github_issue/20260717T031124Z_6bad9f7c/e54fd0be41ba66d3022a71a4.json,https://github.com/zai-org/CodeGeeX4/issues/134,codex-ai-precheck,2026-07-17T03:45:48.495681Z
ver_e838f3e477c73c9cef6cff4e,doc_03b7232a7650beeaff992ca1,CodeGeeX,github_issue,NEEDS_REVIEW,"[""NO_DIMENSION_LABEL""]",data/raw/codegeex/github_issue/20260717T031124Z_6bad9f7c/cb2bbac29d082ed0f51ed708.json,https://github.com/zai-org/CodeGeeX4/issues/153,codex-ai-precheck,2026-07-17T03:45:48.495681Z
ver_1769f3166904346830bf2fc5,doc_05a481ef3a52e8096e6d8e27,CodeGeeX,github_issue,NEEDS_REVIEW,"[""NO_DIMENSION_LABEL"", ""CONTENT_TOO_SHORT""]",data/raw/codegeex/github_issue/20260717T031124Z_6bad9f7c/ec520259059818b47fb5bca2.json,https://github.com/zai-org/CodeGeeX/issues/294,codex-ai-precheck,2026-07-17T03:45:48.495681Z
ver_bc7fcf52e23cb22623e6e297,doc_1165254a43df4f1419eb8f96,CodeGeeX,github_issue,NEEDS_REVIEW,"[""NO_DIMENSION_LABEL"", ""CONTENT_TOO_SHORT""]",data/raw/codegeex/github_issue/20260717T031124Z_6bad9f7c/e9671441bef39efb68e41d3b.json,https://github.com/zai-org/CodeGeeX4/issues/142,codex-ai-precheck,2026-07-17T03:45:48.495681Z
ver_beacb3e7b79f0ad1887e4b73,doc_1b6f8aa6d61027543dc6fe12,CodeGeeX,github_issue,NEEDS_REVIEW,"[""NO_DIMENSION_LABEL""]",data/raw/codegeex/github_issue/20260713T162601Z_fda2c425/017bad97c25cf72b57d28c56.json,https://github.com/zai-org/CodeGeeX/issues/252,codex-ai-precheck,2026-07-17T03:45:48.495681Z
ver_924502cedbc1d3a50704f082,doc_2520ba6afdabe69b4f8a8f54,CodeGeeX,github_issue,NEEDS_REVIEW,"[""SENSITIVE_LONG_NUMBER""]",data/raw/codegeex/github_issue/20260717T031124Z_6bad9f7c/1adbc9b18a8c99d9f05dae93.json,https://github.com/zai-org/CodeGeeX4/issues/137,codex-ai-precheck,2026-07-17T03:45:48.495681Z
ver_029f76771a973db609f5cca5,doc_422f770c64ac9c16448a2edc,CodeGeeX,github_issue,NEEDS_REVIEW,"[""CONTENT_TOO_SHORT""]",data/raw/codegeex/github_issue/20260717T031124Z_6bad9f7c/6574bc4c619e36576c839c13.json,https://github.com/zai-org/CodeGeeX4/issues/120,codex-ai-precheck,2026-07-17T03:45:48.495681Z
ver_41c9e07af2494e95de1c1a37,doc_49aab8798d40135007c054f4,CodeGeeX,github_issue,NEEDS_REVIEW,"[""NO_DIMENSION_LABEL"", ""CONTENT_TOO_SHORT""]",data/raw/codegeex/github_issue/20260717T031124Z_6bad9f7c/01aa2d0a7b8d4a76b7159250.json,https://github.com/zai-org/CodeGeeX4/issues/126,codex-ai-precheck,2026-07-17T03:45:48.495681Z
ver_5869711dcacd667acdbbaf60,doc_4d0602486c2cb7d8f9c0780a,CodeGeeX,github_issue,NEEDS_REVIEW,"[""NO_DIMENSION_LABEL""]",data/raw/codegeex/github_issue/20260717T031124Z_6bad9f7c/94f5041808015b92d84691cb.json,https://github.com/zai-org/CodeGeeX4/issues/160,codex-ai-precheck,2026-07-17T03:45:48.495681Z
